"Missing ID token.","Falta el token de identificación."
"Invalid or missing ID token.","Token de identificación inválido o faltante."
"Invalid Google ID token.","Token de identificación de Google inválido."
"Authentication token has expired. Please try again.","El token de autenticación ha expirado. Por favor, intente nuevamente."
"Email not verified by Google.","Correo electrónico no verificado por Google."
"Invalid or missing email address.","Dirección de correo electrónico inválida o faltante."
"Google One Tap authentication failed","Falló la autenticación de Google One Tap"
"Google Client ID is not configured.","El ID de cliente de Google no está configurado."
"Google One Tap Sign-in","Inicio de sesión Google One Tap"
"One Tap Login","Inicio de sesión One Tap"
"Rollpix","Rollpix"
"General","General"
"Module Status","Estado del módulo"
"One Tap Popup Configuration","Configuración del popup One Tap"
"Client Id","ID de cliente"
"Close Prompt on Background Click","Cerrar ventana al hacer clic en el fondo"
"Auto Sign in without Clicking Prompt","Iniciar sesión automáticamente sin hacer clic en la ventana"
"Position","Posición"
"Select an option from the dropdown.","Seleccione una opción del menú desplegable."
"Google One Tap Login","Inicio de sesión Google One Tap"
"Google One Tap Login Configuration","Configuración de inicio de sesión Google One Tap"
"Top Right","Arriba a la derecha"
"Top Left","Arriba a la izquierda"
"Bottom Right","Abajo a la derecha"
"Bottom Left","Abajo a la izquierda"
"Prompt Context","Contexto del prompt"
"Sign In","Iniciar sesión"
"Sign Up","Registrarse"
"Use","Usar"
"Prompt Parent Element ID","ID del elemento padre del prompt"
"ITP Support (Safari)","Soporte ITP (Safari)"
"Enable Intelligent Tracking Prevention support for Safari browsers. Recommended: Yes.","Habilitar soporte de Prevención de Rastreo Inteligente para navegadores Safari. Recomendado: Sí."
"Show Message on Dismiss","Mostrar mensaje al descartar"
"You dismissed the Google sign-in prompt. You can still sign in using the login form or the Google Sign-In button.","Descartó el aviso de inicio de sesión de Google. Aún puede iniciar sesión usando el formulario o el botón de inicio de sesión con Google."
"Google Sign-In Button","Botón de inicio de sesión con Google"
"Enable Google Sign-In Button","Habilitar botón de inicio de sesión con Google"
"Show a Google Sign-In button on selected pages for users who missed or dismissed the One Tap popup.","Mostrar un botón de inicio de sesión con Google en las páginas seleccionadas para usuarios que no usaron el popup de One Tap."
"Show Button On","Mostrar botón en"
"Customer Login Page","Página de inicio de sesión"
"Customer Registration Page","Página de registro"
"Checkout Page","Página de checkout"
"Custom CSS Selector","Selector CSS personalizado"
"Button Theme","Tema del botón"
"Outline","Contorno"
"Filled Blue","Azul relleno"
"Filled Black","Negro relleno"
"Button Size","Tamaño del botón"
"Large","Grande"
"Medium","Mediano"
"Small","Pequeño"
"Button Shape","Forma del botón"
"Rectangular","Rectangular"
"Pill","Píldora"
"Circle","Círculo"
"Square","Cuadrado"
"Button Text","Texto del botón"
"Sign in with Google","Iniciar sesión con Google"
"Sign up with Google","Registrarse con Google"
"Continue with Google","Continuar con Google"
"Logo Alignment","Alineación del logo"
"Left","Izquierda"
"Center","Centro"
"Or","O"
"Compatibility","Compatibilidad"
"Disable Google Button when Amasty Social Login is active","Deshabilitar botón de Google cuando Amasty Social Login está activo"
"Security Settings","Configuración de Seguridad"
"Enable Debug Logging","Habilitar Registro de Depuración"
"<strong>Warning:</strong> Debug logging exposes sensitive data (tokens, emails, IPs). Only enable for troubleshooting, never in production.","<strong>Advertencia:</strong> El registro de depuración expone datos sensibles (tokens, correos, IPs). Solo habilitar para solucionar problemas, nunca en producción."
"Enable Rate Limiting","Habilitar Limitación de Intentos"
"Protect against brute force attacks by limiting authentication attempts per IP address.","Proteger contra ataques de fuerza bruta limitando los intentos de autenticación por dirección IP."
"Maximum Attempts","Intentos Máximos"
"Maximum number of authentication attempts allowed within the time window. Default: 10","Número máximo de intentos de autenticación permitidos dentro de la ventana de tiempo. Predeterminado: 10"
"Time Window (seconds)","Ventana de Tiempo (segundos)"
"Time window in seconds for counting attempts. Default: 60 (1 minute)","Ventana de tiempo en segundos para contar intentos. Predeterminado: 60 (1 minuto)"
"Too many authentication attempts. Please try again later.","Demasiados intentos de autenticación. Por favor, intente más tarde."
"Authentication failed. Please try again.","Falló la autenticación. Por favor, intente nuevamente."
"An unexpected error occurred. Please try again.","Ocurrió un error inesperado. Por favor, intente nuevamente."
"Network error. Please check your connection and try again.","Error de red. Por favor, verifique su conexión e intente nuevamente."
"Your Librería Oxford account is linked with your Google account %1","Su cuenta de Librería Oxford está vinculada con su cuenta de Google %1"
